time,action,count,
2017-9-28 2:37:41, Cancel, 31,
2017-9-28 2:37:36, Cancel, 27,
2017-9-28 2:37:31, Cancel, 19,
2017-9-28 2:37:26, Cancel, 31,
2017-9-28 2:37:21, Cancel, 32,
2017-9-28 2:37:16, Cancel, 33,
2017-9-28 2:37:11, Cancel, 27,
2017-9-28 2:37:1, Cancel, 24,
2017-9-28 2:36:6, Cancel, 39,
2017-9-28 2:36:56, Cancel, 32,
2017-9-28 2:36:51, Cancel, 28,
2017-9-28 2:36:46, Cancel, 25,
2017-9-28 2:36:41, Cancel, 36,
2017-9-28 2:36:36, Cancel, 31,
2017-9-28 2:36:31, Cancel, 22,
2017-9-28 2:36:26, Cancel, 40,
2017-9-28 2:36:21, Cancel, 36,
2017-9-28 2:36:16, Cancel, 28,
2017-9-28 2:36:11, Cancel, 43,
2017-9-28 2:36:1, Cancel, 26,
2017-9-28 2:35:6, Cancel, 27,
2017-9-28 2:35:56, Cancel, 35,
2017-9-28 2:35:51, Cancel, 39,
2017-9-28 2:35:46, Cancel, 31,
2017-9-28 2:35:41, Cancel, 30,
2017-9-28 2:35:36, Cancel, 22,
2017-9-28 2:35:31, Cancel, 29,
2017-9-28 2:35:26, Cancel, 29,
2017-9-28 2:35:21, Cancel, 29,
2017-9-28 2:35:16, Cancel, 20,
2017-9-28 2:35:11, Cancel, 26,
2017-9-28 2:35:1, Cancel, 35,
2017-9-28 2:34:6, Cancel, 32,
2017-9-28 2:34:56, Cancel, 33,
2017-9-28 2:34:51, Cancel, 37,
2017-9-28 2:34:46, Cancel, 29,
2017-9-28 2:34:41, Cancel, 52,
2017-9-28 2:34:36, Cancel, 31,
2017-9-28 2:34:31, Cancel, 32,
2017-9-28 2:34:26, Cancel, 26,
2017-9-28 2:34:21, Cancel, 26,
2017-9-28 2:34:16, Cancel, 30,
2017-9-28 2:34:11, Cancel, 33,
2017-9-28 2:34:1, Cancel, 25,
2017-9-28 2:33:6, Cancel, 32,
2017-9-28 2:33:56, Cancel, 27,
2017-9-28 2:33:51, Cancel, 35,
2017-9-28 2:33:46, Cancel, 27,
2017-9-28 2:33:41, Cancel, 23,
2017-9-28 2:33:36, Cancel, 41,
2017-9-28 2:33:31, Cancel, 40,
2017-9-28 2:33:26, Cancel, 27,
2017-9-28 2:33:21, Cancel, 45,
2017-9-28 2:33:16, Cancel, 33,
2017-9-28 2:33:11, Cancel, 38,
2017-9-28 2:33:1, Cancel, 32,
2017-9-28 2:32:6, Cancel, 38,
2017-9-28 2:32:56, Cancel, 28,
2017-9-28 2:32:51, Cancel, 24,
2017-9-28 2:32:46, Cancel, 26,
2017-9-28 2:32:41, Cancel, 28,
2017-9-28 2:32:36, Cancel, 26,
2017-9-28 2:32:31, Cancel, 41,
2017-9-28 2:32:26, Cancel, 29,
2017-9-28 2:32:21, Cancel, 23,
2017-9-28 2:32:16, Cancel, 28,
2017-9-28 2:32:11, Cancel, 35,
2017-9-28 2:32:1, Cancel, 31,
2017-9-28 2:31:6, Cancel, 31,
2017-9-28 2:31:56, Cancel, 22,
2017-9-28 2:31:51, Cancel, 36,
2017-9-28 2:31:46, Cancel, 42,
2017-9-28 2:31:41, Cancel, 25,
2017-9-28 2:31:36, Cancel, 47,
2017-9-28 2:31:31, Cancel, 29,
2017-9-28 2:31:26, Cancel, 29,
2017-9-28 2:31:21, Cancel, 28,
2017-9-28 2:31:16, Cancel, 29,
2017-9-28 2:31:11, Cancel, 17,
2017-9-28 2:31:1, Cancel, 30,
2017-9-28 2:30:6, Cancel, 45,
2017-9-28 2:30:56, Cancel, 28,
2017-9-28 2:30:51, Cancel, 33,
